 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,OM_nilre,77432560,B,0,0,0,0,0,21076.24,20019.238,4329586,0,0,48763.637,42809.09,5.19E-05,59860.441,0,0,0,22,249,140.886,42672.879,1.01,0.99,0.04,0,255
6,OM_nilre,20428760,B,0,0,0,0,0,18438.406,19598.229,794717.25,0,0,48600,43072.727,4.07E-04,53627.836,0,0,0,341,215,138.264,42974.988,3.159,0.317,0.011,0,255
9,OM_nilre,65719752,B,0,0,0,0,0,22837.455,15906.289,2938944.5,0,0,48909.09,41027.273,9.56E-05,55106.977,0,0,0,49,3725,30.012,40939.684,1.293,0.774,0.037,0,255
12,OM_nilre,367060992,B,0,0,0,0,0,21510.744,20241.994,14239016,0,0,48236.363,42827.273,2.28E-05,53518.5,0,0,0,607,651,140.369,42822.379,1.095,0.913,0.205,0,255
15,OM_nilre,316460896,B,0,0,0,0,0,20209.469,20502.463,8980981,0,0,48381.816,42545.453,4.93E-05,56733.418,0,0,0,186,654,142.847,42445.32,1.086,0.921,0.167,0,255
18,OM_nilre,7920413,B,0,0,0,0,0,18220.975,18272.297,712670.812,0,0,49118.184,43090.91,1.96E-04,54493.176,0,0,0,187,528,142.428,42879.797,1.682,0.595,0.004,0,255
2,OM_nilre,77432560,G,0,0,0,0,0,21076.24,20019.238,4329586,0,0,48763.637,42809.09,5.19E-05,59860.441,0,0,0,22,249,140.886,42672.879,1.01,0.99,0.04,0,255
5,OM_nilre,20428760,G,0,0,0,0,0,18438.406,19598.229,794717.25,0,0,48600,43072.727,4.07E-04,53627.836,0,0,0,341,215,138.264,42974.988,3.159,0.317,0.011,0,255
8,OM_nilre,65719752,G,0,0,0,0,0,22837.455,15906.289,2938944.5,0,0,48909.09,41027.273,9.56E-05,55106.977,0,0,0,49,3725,30.012,40939.684,1.293,0.774,0.037,0,255
11,OM_nilre,367060992,G,0,0,0,0,0,21510.744,20241.994,14239016,0,0,48236.363,42827.273,2.28E-05,53518.5,0,0,0,607,651,140.369,42822.379,1.095,0.913,0.205,0,255
14,OM_nilre,316460896,G,0,0,0,0,0,20209.469,20502.463,8980981,0,0,48381.816,42545.453,4.93E-05,56733.418,0,0,0,186,654,142.847,42445.32,1.086,0.921,0.167,0,255
17,OM_nilre,7920413,G,0,0,0,0,0,18220.975,18272.297,712670.812,0,0,49118.184,43090.91,1.96E-04,54493.176,0,0,0,187,528,142.428,42879.797,1.682,0.595,0.004,0,255
1,OM_nilre,77432560,R,3.331,6.948,2,2,255,21076.24,20019.238,4329586,0,0,48763.637,42809.09,5.19E-05,59860.441,257941904,100,3121097,22,249,140.886,42672.879,1.01,0.99,0.04,0,255
4,OM_nilre,20428760,R,2.6,1.053,2,2,28,18438.406,19598.229,794717.25,0,0,48600,43072.727,4.07E-04,53627.836,53121076,100,642765,341,215,138.264,42974.988,3.159,0.317,0.011,0,255
7,OM_nilre,65719752,R,3.456,7.532,2,2,255,22837.455,15906.289,2938944.5,0,0,48909.09,41027.273,9.56E-05,55106.977,227137936,100,2748369,49,3725,30.012,40939.684,1.293,0.774,0.037,0,255
10,OM_nilre,367060992,R,9.144,8.713,2,2,255,21510.744,20241.994,14239016,0,0,48236.363,42827.273,2.28E-05,53518.5,3356463104,100,40613204,607,651,140.369,42822.379,1.095,0.913,0.205,0,255
13,OM_nilre,316460896,R,10.572,11.006,2,2,255,20209.469,20502.463,8980981,0,0,48381.816,42545.453,4.93E-05,56733.418,3345773824,100,40483864,186,654,142.847,42445.32,1.086,0.921,0.167,0,255
16,OM_nilre,7920413,R,2.222,0.593,2,2,11,18220.975,18272.297,712670.812,0,0,49118.184,43090.91,1.96E-04,54493.176,17602314,100,212988,187,528,142.428,42879.797,1.682,0.595,0.004,0,255
