 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PA_nilre,60971900,B,0,0,0,0,0,14612.314,15643.66,207169.062,0,0,26100,32154.545,0.018,35021.512,0,0,0,440,143,128.878,25957.904,1.357,0.737,0.088,0,255
6,PA_nilre,79819920,B,0,0,0,0,0,15685.929,15305.516,151920.297,0,0,36918.184,31936.363,0.043,37647.168,0,0,0,0,2440,11.294,28513.541,1.288,0.776,0.097,0,255
9,PA_nilre,81766112,B,0,0,0,0,0,17300.359,20323.734,136743.641,0,0,34890.91,37836.363,0.055,40515.113,0,0,0,1024,0,121.597,33917.152,1.185,0.844,0.083,0,255
12,PA_nilre,80587688,B,0,0,0,0,0,16946.523,15350.63,141164.828,0,0,36645.453,32381.818,0.051,41300.492,0,0,0,169,518,139.025,30742.168,1.192,0.839,0.088,0,255
15,PA_nilre,58120908,B,0,0,0,0,0,18279.143,15731.979,219001.812,0,0,32636.363,33436.363,0.015,33618.203,0,0,0,851,823,129.536,31218.828,1.047,0.955,0.081,0,255
18,PA_nilre,80370328,B,0,0,0,0,0,25253.742,13422.859,139465.25,0,0,41163.637,31636.363,0.052,43137.117,0,0,0,0,2054,17.438,29769.139,1.163,0.86,0.077,0,255
2,PA_nilre,60971900,G,0,0,0,0,0,14612.314,15643.66,207169.062,0,0,26100,32154.545,0.018,35021.512,0,0,0,440,143,128.878,25957.904,1.357,0.737,0.088,0,255
5,PA_nilre,79819920,G,0,0,0,0,0,15685.929,15305.516,151920.297,0,0,36918.184,31936.363,0.043,37647.168,0,0,0,0,2440,11.294,28513.541,1.288,0.776,0.097,0,255
8,PA_nilre,81766112,G,0,0,0,0,0,17300.359,20323.734,136743.641,0,0,34890.91,37836.363,0.055,40515.113,0,0,0,1024,0,121.597,33917.152,1.185,0.844,0.083,0,255
11,PA_nilre,80587688,G,0,0,0,0,0,16946.523,15350.63,141164.828,0,0,36645.453,32381.818,0.051,41300.492,0,0,0,169,518,139.025,30742.168,1.192,0.839,0.088,0,255
14,PA_nilre,58120908,G,0,0,0,0,0,18279.143,15731.979,219001.812,0,0,32636.363,33436.363,0.015,33618.203,0,0,0,851,823,129.536,31218.828,1.047,0.955,0.081,0,255
17,PA_nilre,80370328,G,0,0,0,0,0,25253.742,13422.859,139465.25,0,0,41163.637,31636.363,0.052,43137.117,0,0,0,0,2054,17.438,29769.139,1.163,0.86,0.077,0,255
1,PA_nilre,60971900,R,183.27,41.117,254,107,254,14612.314,15643.66,207169.062,0,0,26100,32154.545,0.018,35021.512,11174331392,100,135209408,440,143,128.878,25957.904,1.357,0.737,0.088,0,255
4,PA_nilre,79819920,R,105.444,39.272,103,35,244,15685.929,15305.516,151920.297,0,0,36918.184,31936.363,0.043,37647.168,8416510976,100,101839784,0,2440,11.294,28513.541,1.288,0.776,0.097,0,255
7,PA_nilre,81766112,R,61.755,20.876,60,20,254,17300.359,20323.734,136743.641,0,0,34890.91,37836.363,0.055,40515.113,5049480704,100,61098720,1024,0,121.597,33917.152,1.185,0.844,0.083,0,255
10,PA_nilre,80587688,R,99.135,35.762,65,35,254,16946.523,15350.63,141164.828,0,0,36645.453,32381.818,0.051,41300.492,7989039104,100,96667368,169,518,139.025,30742.168,1.192,0.839,0.088,0,255
13,PA_nilre,58120908,R,173.04,34.247,254,116,254,18279.143,15731.979,219001.812,0,0,32636.363,33436.363,0.015,33618.203,10057243648,100,121692648,851,823,129.536,31218.828,1.047,0.955,0.081,0,255
16,PA_nilre,80370328,R,93.178,33.999,82,32,254,25253.742,13422.859,139465.25,0,0,41163.637,31636.363,0.052,43137.117,7488748032,100,90613856,0,2054,17.438,29769.139,1.163,0.86,0.077,0,255
