 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PE_rhodb,67877104,B,0,0,0,0,0,19699.021,18501.723,204928.031,0,0,39263.637,42481.816,0.02,49162.555,0,0,0,753,4645,53.444,37111.117,1.021,0.979,0.057,0,255
6,PE_rhodb,109793800,B,0,0,0,0,0,26000.555,21940.422,7814735,0,0,49581.816,43381.816,2.26E-05,65337.957,0,0,0,39,4771,41.571,43190.363,1.06,0.943,0.052,0,255
9,PE_rhodb,78725536,B,0,0,0,0,0,29599.578,19254.309,5740541,0,0,49536.363,43827.273,3.00E-05,65463.566,0,0,0,39,4814,41.814,43455.926,1.085,0.922,0.037,0,255
12,PE_rhodb,86561072,B,0,0,0,0,0,26516.861,18721.332,6974325,0,0,49663.637,44227.273,2.24E-05,66321.648,0,0,0,6,4843,41.594,43978.238,1.273,0.786,0.04,0,255
15,PE_rhodb,58601404,B,0,0,0,0,0,26546.898,21634.354,4469697,0,0,49627.273,43327.273,3.69E-05,65317.738,0,0,0,35,4765,41.49,43115.746,1.16,0.862,0.028,0,255
18,PE_rhodb,44743224,B,0,0,0,0,0,21155.463,15937.209,155980.531,0,0,43372.727,34318.184,0.023,50634.469,0,0,0,0,3355,35.685,34219.551,1.229,0.813,0.038,0,255
2,PE_rhodb,67877104,G,17.868,9.859,13,4,116,19699.021,18501.723,204928.031,0,0,39263.637,42481.816,0.02,49162.555,1212842368,100,14675392,753,4645,53.444,37111.117,1.021,0.979,0.057,0,255
5,PE_rhodb,109793800,G,4.643,4.701,1,1,106,26000.555,21940.422,7814735,0,0,49581.816,43381.816,2.26E-05,65337.957,509757280,100,6168063,39,4771,41.571,43190.363,1.06,0.943,0.052,0,255
8,PE_rhodb,78725536,G,4.279,4.765,1,1,68,29599.578,19254.309,5740541,0,0,49536.363,43827.273,3.00E-05,65463.566,336894784,100,4076427,39,4814,41.814,43455.926,1.085,0.922,0.037,0,255
11,PE_rhodb,86561072,G,3.965,4.303,1,1,93,26516.861,18721.332,6974325,0,0,49663.637,44227.273,2.24E-05,66321.648,343199008,100,4152708,6,4843,41.594,43978.238,1.273,0.786,0.04,0,255
14,PE_rhodb,58601404,G,3.33,3.571,1,1,86,26546.898,21634.354,4469697,0,0,49627.273,43327.273,3.69E-05,65317.738,195170992,100,2361569,35,4765,41.49,43115.746,1.16,0.862,0.028,0,255
17,PE_rhodb,44743224,G,14.933,9.778,6,3,87,21155.463,15937.209,155980.531,0,0,43372.727,34318.184,0.023,50634.469,668145600,100,8084562,0,3355,35.685,34219.551,1.229,0.813,0.038,0,255
1,PE_rhodb,67877104,R,22.824,12.814,15,5,151,19699.021,18501.723,204928.031,0,0,39263.637,42481.816,0.02,49162.555,1549254272,100,18745976,753,4645,53.444,37111.117,1.021,0.979,0.057,0,255
4,PE_rhodb,109793800,R,5.689,6.078,1,1,137,26000.555,21940.422,7814735,0,0,49581.816,43381.816,2.26E-05,65337.957,624584768,100,7557476,39,4771,41.571,43190.363,1.06,0.943,0.052,0,255
7,PE_rhodb,78725536,R,5.204,6.162,1,1,88,29599.578,19254.309,5740541,0,0,49536.363,43827.273,3.00E-05,65463.566,409692224,100,4957276,39,4814,41.814,43455.926,1.085,0.922,0.037,0,255
10,PE_rhodb,86561072,R,4.813,5.557,1,1,121,26516.861,18721.332,6974325,0,0,49663.637,44227.273,2.24E-05,66321.648,416610400,100,5040986,6,4843,41.594,43978.238,1.273,0.786,0.04,0,255
13,PE_rhodb,58601404,R,3.954,4.627,1,1,112,26546.898,21634.354,4469697,0,0,49627.273,43327.273,3.69E-05,65317.738,231726784,100,2803894,35,4765,41.49,43115.746,1.16,0.862,0.028,0,255
16,PE_rhodb,44743224,R,19.007,12.711,7,3,113,21155.463,15937.209,155980.531,0,0,43372.727,34318.184,0.023,50634.469,850433728,100,10290248,0,3355,35.685,34219.551,1.229,0.813,0.038,0,255
