 ,Label,Area1,Channel,Mean1,StdDev1,Mode1,Min1,Max1,X1,Y1,Perim.1,BX1,BY1,Width1,Height1,Circ.1,Feret1,IntDen1,%Area1,RawIntDen1,FeretX1,FeretY1,FeretAngle1,MinFeret1,AR1,Round1,Solidity1,MinThr1,MaxThr1
3,PLA_nilre,141366864,B,0,0,0,0,0,20279.971,19509.377,142880.469,0,0,38372.727,37427.273,0.087,39838.602,0,0,0,1028,3958,51.216,36250.051,1.065,0.939,0.129,0,255
6,PLA_nilre,101136360,B,0,0,0,0,0,16175.579,15658.606,412872.844,0,0,32427.273,34872.727,0.007,35819.273,0,0,0,1280,25,104.823,31572.955,1.211,0.826,0.115,0,255
9,PLA_nilre,144129264,B,0,0,0,0,0,18555.566,18824.701,148619.344,0,0,34318.184,34209.09,0.082,38345.602,0,0,0,88,3217,48.951,32157.697,1.133,0.882,0.159,0,255
12,PLA_nilre,145997936,B,0,0,0,0,0,18898.83,18564.717,147361.609,0,0,40454.547,36218.184,0.084,41033.484,0,0,0,0,2759,9.861,32751.18,1.17,0.855,0.148,0,255
15,PLA_nilre,132268840,B,0,0,0,0,0,19246.207,16935.973,382982.844,0,0,39381.816,33445.453,0.011,39692.371,0,0,0,3,1392,172.419,32902.266,1.046,0.956,0.132,0,255
18,PLA_nilre,138700240,B,0,0,0,0,0,19274.213,19189.262,155862.766,0,0,41472.727,40609.09,0.072,42017.727,0,0,0,40,1737,168.063,38579.613,1.233,0.811,0.116,0,255
2,PLA_nilre,141366864,G,0,0,0,0,0,20279.971,19509.377,142880.469,0,0,38372.727,37427.273,0.087,39838.602,0,0,0,1028,3958,51.216,36250.051,1.065,0.939,0.129,0,255
5,PLA_nilre,101136360,G,0,0,0,0,0,16175.579,15658.606,412872.844,0,0,32427.273,34872.727,0.007,35819.273,0,0,0,1280,25,104.823,31572.955,1.211,0.826,0.115,0,255
8,PLA_nilre,144129264,G,0,0,0,0,0,18555.566,18824.701,148619.344,0,0,34318.184,34209.09,0.082,38345.602,0,0,0,88,3217,48.951,32157.697,1.133,0.882,0.159,0,255
11,PLA_nilre,145997936,G,0,0,0,0,0,18898.83,18564.717,147361.609,0,0,40454.547,36218.184,0.084,41033.484,0,0,0,0,2759,9.861,32751.18,1.17,0.855,0.148,0,255
14,PLA_nilre,132268840,G,0,0,0,0,0,19246.207,16935.973,382982.844,0,0,39381.816,33445.453,0.011,39692.371,0,0,0,3,1392,172.419,32902.266,1.046,0.956,0.132,0,255
17,PLA_nilre,138700240,G,0,0,0,0,0,19274.213,19189.262,155862.766,0,0,41472.727,40609.09,0.072,42017.727,0,0,0,40,1737,168.063,38579.613,1.233,0.811,0.116,0,255
1,PLA_nilre,141366864,R,106.512,29.532,92,32,254,20279.971,19509.377,142880.469,0,0,38372.727,37427.273,0.087,39838.602,15057307648,100,182193424,1028,3958,51.216,36250.051,1.065,0.939,0.129,0,255
4,PLA_nilre,101136360,R,119.976,20.968,112,89,254,16175.579,15658.606,412872.844,0,0,32427.273,34872.727,0.007,35819.273,12133959680,100,146820912,1280,25,104.823,31572.955,1.211,0.826,0.115,0,255
7,PLA_nilre,144129264,R,98.227,29.615,80,35,254,18555.566,18824.701,148619.344,0,0,34318.184,34209.09,0.082,38345.602,14157430784,100,171304912,88,3217,48.951,32157.697,1.133,0.882,0.159,0,255
10,PLA_nilre,145997936,R,182.284,52.036,254,32,254,18898.83,18564.717,147361.609,0,0,40454.547,36218.184,0.084,41033.484,26613145600,100,322019072,0,2759,9.861,32751.18,1.17,0.855,0.148,0,255
13,PLA_nilre,132268840,R,121.716,25.618,125,80,254,19246.207,16935.973,382982.844,0,0,39381.816,33445.453,0.011,39692.371,16099177472,100,194800048,3,1392,172.419,32902.266,1.046,0.956,0.132,0,255
16,PLA_nilre,138700240,R,33.887,12.449,27,8,254,19274.213,19189.262,155862.766,0,0,41472.727,40609.09,0.072,42017.727,4700179968,100,56872180,40,1737,168.063,38579.613,1.233,0.811,0.116,0,255
